1	高松灯	0	14	66.600000	4	15
2	丰川祥子	0	14	55.500000	6	15
2	丰川祥子	1	15	45.500000	7	15
2	丰川祥子	2	16	35.500000	8	15
2	丰川祥子	3	17	25.500000	9	15
3	稚名立希	0	16	25.500000	6	15
3	稚名立希	1	15	35.500000	7	15
3	稚名立希	2	14	45.500000	8	15
3	稚名立希	3	13	55.500000	9	15
1	高松灯	1	2	56.600000	1	2
1	高松灯	2	3	36.600000	1	3
1	高松灯	3	4	26.600000	1	4
4	要乐奈	0	2	56.600000	1	2
4	要乐奈	1	3	66.600000	1	3
4	要乐奈	2	4	76.600000	1	4
4	要乐奈	3	5	86.600000	1	5
3	小马珍珠	0	13	55.500000	9	15
3	小马珍珠	1	13	65.500000	9	16
3	小马珍珠	2	13	75.500000	9	17
3	小马珍珠	3	13	85.500000	9	18
4	纯真丁真	0	13	95.500000	7	18
4	纯真丁真	1	13	85.500000	8	19
4	纯真丁真	2	13	75.500000	9	20
4	纯真丁真	3	13	65.500000	10	21
4	芝士雪豹	0	13	95.500000	10	21
4	芝士雪豹	1	13	85.500000	9	20
4	芝士雪豹	2	13	75.500000	8	19
4	芝士雪豹	3	13	65.500000	7	18
4	上海卓玛	3	13	45.500000	8	18
4	上海卓玛	3	13	35.500000	9	18
4	上海卓玛	3	13	25.500000	10	18
4	上海卓玛	3	13	95.500000	11	18
1	丁真	1	99	0.000000	1	28
1	丁真	2	99	1.000000	1	27
1	丁真	3	99	2.000000	1	29
1	丁真	0	99	3.000000	1	26
4	理塘丁真	2	13	95.500000	3	19
4	理塘丁真	2	13	105.500000	5	19
4	理塘丁真	2	13	85.500000	7	19
4	理塘丁真	2	13	75.500000	9	19
1	Otto	0	99	11.000000	1	28
2	Otto	1	99	12.000000	6	28
3	Otto	2	99	13.000000	2	28
4	Otto	3	99	14.000000	3	28
1	电棍	0	10	0.000000	2	28
1	电棍	1	20	0.000000	5	28
1	电棍	2	30	0.000000	7	28
1	电棍	3	40	0.000000	10	28
2	雨宫莲	0	14	66.600000	4	15
2	雨宫莲	0	14	66.600000	4	15
1	瑞克五	1	14	23.300000	4	2
1	小红	1	14	22.200000	4	5
